School Id,Earnings 6 Years After Entry,Earnings 10 years After Entry,3 Year Repayment Percentage,5 Year Repayment Percentage,7 Year Repayment Percentage
445188,36900.0,,0.7814726841,0.786069652,
446792,23500.0,29300.0,0.347467609,0.444317315,0.516055046
446808,23500.0,29300.0,0.347467609,0.444317315,0.516055046
446048,29800.0,32800.0,0.6748466258,0.771186441,0.711111111
446668,27200.0,34100.0,0.503600823,0.603622802,0.698750918
447458,32100.0,48400.0,0.5695187166,0.609311741,0.691803279
447272,30300.0,41400.0,0.4765714286,0.63963964,0.761627907
117557,,,,,
210492,,,,,
441982,,,,,
456348,30300.0,41400.0,0.4765714286,0.63963964,0.761627907
459842,27900.0,37800.0,0.4233547352,0.529329609,0.688632619
468015,26900.0,33400.0,0.4571159284,0.562656016,0.571279917
449038,33100.0,45900.0,0.409350057,0.529604068,0.600981767
450298,33100.0,45900.0,0.409350057,0.529604068,0.600981767
453215,33100.0,45900.0,0.409350057,0.529604068,0.600981767
458885,33100.0,45900.0,0.409350057,0.529604068,0.600981767
458955,33100.0,45900.0,0.409350057,0.529604068,0.600981767
460738,,,0.7096774194,,
461795,,,,,
470092,25800.0,29400.0,0.3046664811,0.485496183,0.571794872
139287,,,,,
475608,,,,,
475732,67100.0,58400.0,0.674411303,0.731261426,
489788,,,,,
484905,37600.0,45000.0,,,
484622,28400.0,47100.0,0.4258985535,0.58476236,0.687975474
485078,37000.0,43300.0,0.7369281046,0.810690423,0.785100287
484668,28400.0,47100.0,0.4258985535,0.58476236,0.687975474
484695,28400.0,47100.0,0.4258985535,0.58476236,0.687975474
484738,28400.0,47100.0,0.4258985535,0.58476236,0.687975474
485272,74600.0,54900.0,0.8055130168,0.828066915,0.793248945
484765,28400.0,47100.0,0.4258985535,0.58476236,0.687975474
488332,,,,,
483018,,,,,
486488,,,,,
486938,,,0.674411303,0.731261426,
486965,,,,0.527777778,0.642857143
487375,,,0.3494117647,0.321907601,0.403125
212452,,,,,
460075,,,,,
481225,,,,,
480912,,,,,
481058,,,,,
482228,,,,,
482538,32600.0,44100.0,0.5597110913,0.692381871,0.701612903
482565,32600.0,44100.0,0.5597110913,0.692381871,0.701612903
482608,32600.0,44100.0,0.5597110913,0.692381871,0.701612903
481438,,,,,
482635,32600.0,44100.0,0.5597110913,0.692381871,0.701612903
482398,25800.0,29400.0,0.3046664811,0.485496183,0.571794872
482422,32600.0,44100.0,0.5597110913,0.692381871,0.701612903
482158,26300.0,31500.0,0.5871559633,0.706161137,0.765100671
482705,54400.0,67400.0,0.8840858149,0.906182796,0.925822471
482468,32600.0,44100.0,0.5597110913,0.692381871,0.701612903
475398,,,,,
458982,27300.0,34100.0,0.5769576958,0.716395864,0.694444444
459268,26900.0,33400.0,0.4571159284,0.562656016,0.571279917
476692,,,,,
480082,26900.0,33400.0,0.4571159284,0.562656016,0.571279917
476975,,,0.6666666667,,
480198,37900.0,41000.0,0.5957854406,0.674220963,0.807486631
182917,,,,,
449348,,,,,
449658,,,,,
452018,25800.0,29400.0,0.3046664811,0.485496183,0.571794872
454582,36500.0,41500.0,0.6215139442,0.657718121,0.516129032
445735,74900.0,,0.8083832335,0.782178218,
450085,23700.0,30900.0,0.4510055627,0.544902913,0.638353765
449898,26900.0,33400.0,0.4571159284,0.562656016,0.571279917
450535,30300.0,41400.0,0.4765714286,0.63963964,0.761627907
451848,30300.0,41400.0,0.4765714286,0.63963964,0.761627907
451398,,,,,
454245,67100.0,58400.0,0.674411303,0.731261426,
448822,28400.0,47100.0,0.4258985535,0.58476236,0.687975474
199971,,,,,
442222,30300.0,41400.0,0.4765714286,0.63963964,0.761627907
442718,28200.0,34500.0,0.5091036415,0.663541667,0.702154626
184694,38200.0,48100.0,0.7405986186,0.796812749,0.862850972
444778,,,,,
444398,22800.0,,,,
445692,69800.0,69400.0,0.8547008547,0.879518072,0.836363636
420325,,,,,
100751,37400.0,44500.0,0.707342566,0.75203252,0.827614379
101587,26400.0,37400.0,0.5498575499,0.602739726,0.700934579
105367,36500.0,41500.0,0.6215139442,0.657718121,0.516129032
107044,33400.0,40900.0,0.8099273608,0.837471783,0.87357775
110097,34500.0,44500.0,0.8405650858,0.904358354,0.912408759
118541,27900.0,35900.0,0.5844155844,0.611111111,0.705882353
117751,35500.0,41700.0,0.8695652174,0.915322581,
120184,44300.0,56400.0,0.6974789916,0.833333333,0.755395684
120254,39200.0,50600.0,0.8924418605,0.947916667,0.922261484
120537,29700.0,36000.0,0.7037037037,0.719298246,
137351,36800.0,43500.0,0.65179785,0.728743546,0.775611621
139861,35700.0,40500.0,0.780876494,0.809466019,0.868263473
139931,33700.0,41900.0,0.6334248246,0.695224207,0.758841074
139311,32100.0,38800.0,0.4760091394,0.600271003,0.649819495
138947,26700.0,35500.0,0.4169611307,0.482894737,0.53986014
143084,39700.0,52000.0,0.858345021,0.922256098,0.935344828
142294,30400.0,40000.0,0.8235294118,0.87431694,0.911764706
141574,35700.0,45800.0,0.782546495,0.849573691,0.877428999
140951,29400.0,36400.0,0.6472966145,0.679523539,0.751404494
141167,32400.0,34300.0,0.4438202247,0.5625,0.720588235
141237,23600.0,32600.0,0.7173913043,0.709090909,
141981,38600.0,38600.0,0.730964467,0.722222222,0.709090909
142887,23300.0,31100.0,0.5742574257,0.741071429,0.725274725
141264,31500.0,38700.0,0.5532359081,0.658204896,0.719965428
141334,31600.0,38200.0,0.570545829,0.622903412,0.71275783
145497,21300.0,21100.0,,,
146427,29800.0,39700.0,0.7547169811,0.815151515,0.897526502
145637,47100.0,61500.0,0.8222466269,0.855513308,0.906491338
146481,39100.0,50900.0,0.8674698795,0.91966759,0.943894389
145691,32800.0,42800.0,0.8863636364,0.904,0.945812808
146667,25300.0,30900.0,0.7887323944,0.843971631,0.75
147767,58900.0,69000.0,0.9178547183,0.927702703,0.935400517
148627,38100.0,48200.0,0.7291875627,0.799482536,0.805755396
148654,34800.0,44600.0,0.7216216216,0.793680297,0.833679834
149514,32300.0,41100.0,0.7741935484,,
147244,33400.0,42900.0,0.7686453577,0.835357625,0.853512706
148177,27200.0,34100.0,0.503600823,0.603622802,0.698750918
148487,36800.0,43600.0,0.5819521179,0.69740634,0.708080808
148511,63500.0,85900.0,,,
405058,,,,,
100654,25200.0,31000.0,0.4110512129,0.477631579,0.579330422
102377,28500.0,35500.0,0.5870445344,0.765432099,0.721115538
100724,22600.0,27700.0,0.3545232274,0.43006993,0.499095841
102614,30700.0,38700.0,0.7416666667,0.750677507,0.829912024
100937,33400.0,46700.0,0.8735632184,,
101541,22200.0,26100.0,0.6333333333,0.75,0.725
102094,31500.0,37800.0,0.6093911249,0.695334458,0.704787234
102234,33600.0,45100.0,0.7866108787,0.808411215,0.826530612
102261,27800.0,34400.0,0.4473684211,0.555555556,0.580645161
104717,28400.0,52700.0,0.6347204708,0.71969697,0.803625378
104151,38300.0,47700.0,0.6853324311,0.739734885,0.784558238
106704,29600.0,38300.0,0.6989459816,0.753255655,0.76602831
109651,40300.0,53600.0,0.77827051,0.726973684,0.779376499
107877,28400.0,33100.0,0.6057692308,0.716666667,0.7875
107141,36900.0,45800.0,0.8125,0.844129555,0.858942066
110617,38600.0,48900.0,0.7381941821,0.666666667,0.766423358
110644,40400.0,58200.0,0.8735473705,0.89010989,
110671,33700.0,49700.0,0.7108575924,0.648148148,0.861702128
110714,33800.0,46900.0,0.7889419029,0.804069767,
117104,28400.0,32700.0,0.6666666667,0.787234043,
106397,37100.0,44900.0,0.7642765135,0.801935117,0.837648705
106467,28900.0,34100.0,0.6756944444,0.712341198,0.706166868
107071,27000.0,35700.0,0.71,0.651162791,0.689285714
110361,34300.0,42600.0,0.7362110312,0.777142857,0.810679612
110404,54500.0,85900.0,,,
111081,26900.0,37900.0,0.6705426357,0.701550388,0.751111111
112084,27700.0,36700.0,0.6296296296,0.748201439,0.850649351
110547,33100.0,44700.0,0.5941289087,0.606698565,0.657782516
110574,40600.0,51700.0,0.7307472904,0.76394052,0.814873418
112394,28800.0,49800.0,0.7380952381,,0.78
117627,33700.0,49500.0,0.6046511628,0.760416667,
123457,30500.0,34500.0,0.7317073171,0.758007117,0.772727273
122454,26500.0,31900.0,0.6555555556,0.734939759,
122597,38000.0,49200.0,0.7064977974,0.718116976,0.802263439
125727,35600.0,51400.0,0.9018867925,0.933014354,
125897,34800.0,48200.0,0.7439613527,0.81595092,0.834586466
126827,27900.0,42200.0,0.4057599672,0.543011461,0.680255229
127714,29400.0,29700.0,0.4842105263,0.483870968,0.719298246
127741,33800.0,42000.0,0.7367668097,0.834288692,0.873007439
126614,39100.0,50800.0,0.8066396351,0.830860534,0.87950271
129941,38600.0,52100.0,0.8358208955,0.860856269,0.881443299
128391,29300.0,39000.0,0.73828125,,0.858585859
130697,42100.0,54700.0,0.9146110057,0.931098697,0.927631579
130794,56600.0,83200.0,0.8810810811,0.913357401,0.947457627
129534,,,,,
128744,32300.0,43100.0,0.706940874,0.762589928,0.759259259
128771,39100.0,47900.0,0.7371937639,0.778489117,0.841576507
135364,37000.0,44800.0,0.4,0.5,
137847,39100.0,48600.0,0.7330246914,0.798042705,0.840040241
201645,59600.0,74600.0,0.889010989,0.911832947,0.946107784
203085,31300.0,39300.0,0.7840236686,0.841642229,0.893280632
203368,38400.0,53800.0,0.8117519042,0.872654156,0.905686547
203775,34600.0,41700.0,0.79,0.842560554,0.887900356
207722,27500.0,32000.0,0.6806282723,0.73015873,0.826839827
206862,39800.0,47600.0,0.7386091127,0.816425121,0.8200409
207342,42400.0,51100.0,0.8190909091,0.858777261,0.875
207458,35300.0,42800.0,0.8017241379,0.820093458,0.9
208488,38900.0,43300.0,0.7438271605,0.816666667,0.853211009
207582,29900.0,37600.0,0.7276995305,0.786355476,0.809935205
210775,36000.0,44500.0,0.7383627608,0.776666667,0.82
209612,33400.0,46600.0,0.8723958333,0.885869565,0.916981132
211608,21600.0,29400.0,0.3757575758,0.474820144,0.483870968
211088,34300.0,44100.0,0.7516025641,0.847863248,0.875432526
211158,35900.0,44500.0,0.8418467583,0.879634605,0.896860987
209825,53800.0,58800.0,0.9018324607,0.924528302,0.930807249
209922,30400.0,42200.0,0.8766519824,0.945606695,0.945945946
213358,33200.0,40400.0,0.7809798271,0.837333333,
213385,56400.0,68600.0,0.9225806452,0.913253012,0.973474801
213598,25600.0,34600.0,0.44140625,0.455795678,0.503125
214148,27200.0,33300.0,0.6684782609,0.83,0.856115108
214175,45200.0,59400.0,0.9018404908,0.921212121,0.922330097
214698,40100.0,50100.0,0.813242232,0.882724762,0.903882924
213668,34100.0,45700.0,0.8233830846,0.888077859,0.871287129
215105,23700.0,32600.0,0.7523219814,0.826347305,0.820702403
214625,40100.0,50100.0,0.813242232,0.882724762,0.903882924
